10000	9660	10395	20055
20000	9660	10387	20047
30000	19693	242	19935
40000	9544	250	9794
50000	9364	168	9532
60000	9140	82	9222
70000	8831	70	8901
80000	8492	112	8604
90000	8253	76	8329
100000	7945	68	8013
110000	7673	70	7743
120000	7411	60	7471
130000	7066	78	7144
140000	6761	96	6857
150000	6410	122	6532
160000	6208	94	6302
170000	5901	102	6003
180000	5630	110	5740
190000	5440	70	5510
200000	5118	88	5206
210000	4846	110	4956
220000	4634	100	4734
230000	4371	62	4433
240000	4197	66	4263
250000	3997	84	4081
260000	3758	94	3852
270000	3584	78	3662
280000	3353	88	3441
290000	3158	70	3228
300000	2953	82	3035
310000	2772	90	2862
320000	2585	104	2689
330000	2434	90	2524
340000	2300	80	2380
350000	2145	72	2217
360000	2013	56	2069
370000	1934	60	1994
380000	1777	64	1841
390000	1681	46	1727
400000	1527	44	1571
410000	1416	68	1484
420000	1313	60	1373
430000	1171	88	1259
440000	1096	74	1170
450000	1031	66	1097
460000	956	70	1026
470000	908	68	976
480000	889	54	943
490000	858	48	906
500000	821	38	859
510000	766	44	810
520000	737	30	767
530000	701	32	733
540000	678	34	712
550000	658	36	694
560000	630	40	670
570000	599	42	641
580000	580	38	618
590000	565	32	597
600000	557	26	583
610000	540	30	570
620000	514	38	552
630000	497	32	529
640000	478	28	506
650000	473	24	497
660000	457	24	481
670000	441	30	471
680000	423	30	453
690000	409	30	439
700000	395	30	425
710000	387	30	417
720000	376	28	404
730000	365	28	393
740000	354	30	384
750000	351	26	377
760000	338	28	366
770000	329	26	355
780000	314	30	344
790000	305	28	333
800000	297	28	325
810000	292	26	318
820000	286	26	312
830000	282	24	306
840000	270	28	298
850000	263	26	289
860000	256	28	284
870000	255	26	281
880000	251	24	275
890000	250	22	272
900000	246	22	268
910000	240	24	264
920000	238	22	260
930000	237	20	257
940000	235	20	255
950000	232	20	252
960000	231	20	251
970000	230	20	250
980000	229	20	249
990000	228	20	248
1000000	225	20	245
1010000	223	20	243
1020000	221	20	241
1030000	220	20	240
1040000	219	20	239
1050000	217	20	237
1060000	215	20	235
1070000	213	20	233
1080000	212	20	232
1090000	211	20	231
1100000	210	20	230
1110000	208	20	228
1120000	206	20	226
1130000	204	20	224
1140000	202	20	222
1150000	202	20	222
1160000	200	20	220
1170000	198	20	218
1180000	196	20	216
1190000	195	20	215
1200000	194	20	214
1210000	193	20	213
1220000	191	20	211
1230000	190	20	210
1240000	188	20	208
1250000	187	20	207
1260000	185	20	205
1270000	184	20	204
1280000	182	20	202
1290000	181	20	201
1300000	180	20	200
1310000	179	20	199
1320000	177	20	197
1330000	176	20	196
1340000	176	20	196
1350000	176	20	196
1360000	175	20	195
1370000	175	20	195
1380000	175	20	195
1390000	175	20	195
1400000	175	20	195
1410000	175	20	195
1420000	175	20	195
1430000	175	20	195
1440000	175	20	195
1450000	175	20	195
1460000	175	20	195
1470000	175	20	195
1480000	175	20	195
1490000	175	20	195
1500000	175	20	195
1510000	175	20	195
1520000	175	20	195
1530000	175	20	195
1540000	175	20	195
1550000	175	20	195
1560000	175	20	195
1570000	175	20	195
1580000	175	20	195
1590000	175	20	195
1600000	175	20	195
1610000	174	20	194
1620000	174	20	194
1630000	173	20	193
1640000	173	20	193
1650000	172	20	192
1660000	172	20	192
1670000	170	20	190
1680000	170	20	190
1690000	170	20	190
1700000	170	20	190
1710000	169	20	189
1720000	169	20	189
1730000	169	20	189
1740000	169	20	189
1750000	169	20	189
1760000	169	20	189
1770000	169	20	189
1780000	169	20	189
1790000	169	20	189
1800000	169	20	189
1810000	169	20	189
1820000	169	20	189
1830000	169	20	189
1840000	169	20	189
1850000	169	20	189
